reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
21,23,80,0,0,0,25,22.131915800040588,23.034769100137055,23.034769100137055,23.13439409993589,t,10.181959999958053,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
86,110,27,0,1,1,90,33.24838829995133,34.23412199993618,34.23412199993618,34.250973999965936,l,6.20470490003936,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
77,92,95,0,2,2,81,40.481928900117055,41.46793569996953,41.46793569996953,41.484499800018966,t,4.757149300072342,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
11,30,7,0,3,3,0,46.251016000052914,47.25118299992755,47.25118299992755,47.25118299992755,l,5.601659400155768,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
92,97,45,0,4,4,96,52.898751199943945,53.88451989996247,53.88451989996247,53.901006100000814,t,2.2325581000186503,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
41,43,42,0,5,5,45,56.13430209993385,57.134524000110105,57.134524000110105,57.134524000110105,t,2.3706187999341637,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
57,61,88,0,6,6,61,59.53511589998379,60.534332500072196,60.534332500072196,60.534332500072196,t,2.4618839998729527,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
33,35,54,0,7,7,37,63.018390600103885,64.01760810008273,64.01760810008273,64.01760810008273,t,2.7638484998606145,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
65,69,35,0,8,8,69,66.80079309991561,67.80103580001742,67.80103580001742,67.80103580001742,t,1.2632539998739958,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
64,68,30,0,9,9,68,69.08507860009558,70.08437890000641,70.08437890000641,70.08437890000641,t,1.9990269001573324,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
59,63,5,0,10,10,63,72.10094200004824,73.09983179997653,73.09983179997653,73.09983179997653,l,2.2625573000404984,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
